OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00069299,E01013725,4,Multicultural Metropolitans,351
E00069298,E01013725,8,Hard-Pressed Living,302
E00169522,E01013714,4,Multicultural Metropolitans,369
E00169525,E01013713,4,Multicultural Metropolitans,181
E00069526,E01013784,4,Multicultural Metropolitans,316
E00169523,E01013714,4,Multicultural Metropolitans,345
E00069521,E01013781,2,Cosmopolitans,353
E00069527,E01013785,6,Suburbanites,266
E00069524,E01013784,4,Multicultural Metropolitans,411
E00069525,E01013784,4,Multicultural Metropolitans,317
E00069522,E01013782,2,Cosmopolitans,302
E00069523,E01013783,5,Urbanites,357
E00069520,E01013781,2,Cosmopolitans,412
E00169528,E01032872,3,Ethnicity Central,119
E00069529,E01013786,4,Multicultural Metropolitans,266
E00069476,E01013771,4,Multicultural Metropolitans,388
E00069474,E01013771,4,Multicultural Metropolitans,423
E00069472,E01013768,8,Hard-Pressed Living,198
E00169477,E01013745,4,Multicultural Metropolitans,415
E00069473,E01013771,4,Multicultural Metropolitans,381
E00069470,E01013770,4,Multicultural Metropolitans,394
E00169474,E01013680,4,Multicultural Metropolitans,364
E00069471,E01013768,8,Hard-Pressed Living,225
E00169475,E01013714,4,Multicultural Metropolitans,365
E00169478,E01013744,4,Multicultural Metropolitans,395
E00069478,E01032597,8,Hard-Pressed Living,259
E00069479,E01013772,8,Hard-Pressed Living,330
E00068956,E01013663,4,Multicultural Metropolitans,411
E00068957,E01013664,4,Multicultural Metropolitans,320
E00068954,E01013663,4,Multicultural Metropolitans,409
E00068953,E01013661,4,Multicultural Metropolitans,442
E00068846,E01013637,7,Constrained City Dwellers,244
E00068847,E01013640,4,Multicultural Metropolitans,394
E00068844,E01013634,8,Hard-Pressed Living,303
E00068845,E01013636,6,Suburbanites,343
E00069397,E01013754,3,Ethnicity Central,536
E00069316,E01013736,4,Multicultural Metropolitans,228
E00069317,E01013737,4,Multicultural Metropolitans,325
E00069312,E01013732,4,Multicultural Metropolitans,317
E00069393,E01013754,3,Ethnicity Central,591
E00069313,E01013734,4,Multicultural Metropolitans,513
E00069392,E01013754,3,Ethnicity Central,549
E00069310,E01013732,4,Multicultural Metropolitans,335
E00069391,E01013752,4,Multicultural Metropolitans,356
E00069410,E01013763,3,Ethnicity Central,301
E00169495,E01013607,3,Ethnicity Central,255
E00069311,E01013732,4,Multicultural Metropolitans,404
E00069390,E01013753,4,Multicultural Metropolitans,409
E00069319,E01013737,4,Multicultural Metropolitans,281
E00169499,E01013607,2,Cosmopolitans,191
E00069496,E01013775,4,Multicultural Metropolitans,314
E00069417,E01013757,4,Multicultural Metropolitans,491
E00169492,E01013660,4,Multicultural Metropolitans,321
E00169491,E01032872,2,Cosmopolitans,189
E00069415,E01013758,4,Multicultural Metropolitans,380
E00069494,E01013776,2,Cosmopolitans,364
E00169497,E01013607,2,Cosmopolitans,203
E00069413,E01013765,4,Multicultural Metropolitans,392
E00069492,E01013774,4,Multicultural Metropolitans,325
E00169494,E01013660,4,Multicultural Metropolitans,509
E00068726,E01013609,6,Suburbanites,300
E00068727,E01013610,8,Hard-Pressed Living,296
E00068724,E01013608,6,Suburbanites,276
E00068725,E01013608,5,Urbanites,351
E00068722,E01013610,6,Suburbanites,300
E00068723,E01013609,5,Urbanites,220
E00068721,E01013609,5,Urbanites,291
E00068720,E01013614,5,Urbanites,325
E00068728,E01013610,8,Hard-Pressed Living,257
E00068734,E01013611,4,Multicultural Metropolitans,315
E00068676,E01013603,3,Ethnicity Central,386
E00068677,E01013604,7,Constrained City Dwellers,230
E00068674,E01013602,8,Hard-Pressed Living,294
E00068675,E01013601,4,Multicultural Metropolitans,410
E00068672,E01013601,4,Multicultural Metropolitans,343
E00068670,E01013602,8,Hard-Pressed Living,336
E00068950,E01013665,4,Multicultural Metropolitans,316
E00068958,E01013662,4,Multicultural Metropolitans,555
E00068959,E01013661,4,Multicultural Metropolitans,332
E00068864,E01013640,8,Hard-Pressed Living,410
E00068865,E01013641,4,Multicultural Metropolitans,337
E00068862,E01013639,4,Multicultural Metropolitans,357
E00068863,E01013641,4,Multicultural Metropolitans,398
E00068860,E01013632,8,Hard-Pressed Living,374
